x,y,z,intensity,return_number,number_of_returns,scan_direction_flag,edge_of_flight_line,classification,synthetic,key_point,withheld,scan_angle_rank,user_data,point_source_id,gps_time
829538.4555788592,5932628.141171665,534.45,10,1,1,0,0,2,0,0,0,19,2,2100,363512138.1890288
829539.6837903387,5932628.654306592,534.42,7,2,2,0,0,2,0,0,0,19,2,2100,363512138.1957971
829538.1925177117,5932628.859869057,534.3100000000001,9,1,1,0,0,2,0,0,0,19,2,2100,363512138.1890297
829537.9586905864,5932629.519899783,534.29,8,1,1,0,0,2,0,0,0,19,2,2100,363512138.1890306
829539.1576773733,5932630.135705977,534.28,9,1,1,0,0,2,0,0,0,19,2,2100,363512138.1957989
829539.4207371515,5932629.417005739,534.34,8,1,1,0,0,2,0,0,0,19,2,2100,363512138.195798
829536.5546942954,5932626.792160355,534.8100000000001,8,2,2,0,0,2,0,0,0,19,2,2100,363512138.1687233
829537.0810589341,5932626.938742468,534.79,9,1,1,0,0,2,0,0,0,19,2,2100,363512138.1754914
829537.9436095051,5932626.527940691,534.7,9,1,1,0,0,2,0,0,0,19,2,2100,363512138.1822588
829538.8939993015,5932626.835792413,534.8100000000001,10,1,1,0,0,2,0,0,0,19,2,2100,363512138.189027
829536.2916351907,5932627.510861988,534.8,7,1,1,0,0,2,0,0,0,19,2,2100,363512138.1687242
829535.3705397984,5932627.379056327,536.24,5,1,2,0,0,1,0,0,0,19,1,2100,363512138.1619558
829536.1454524822,5932627.4962708205,536.35,2,1,2,0,0,1,0,0,0,19,1,2100,363512138.1687233
829537.6220847588,5932627.349318691,534.73,9,1,1,0,0,2,0,0,0,19,2,2100,363512138.1822597
829538.6601757049,5932627.525153725,534.72,9,1,1,0,0,2,0,0,0,19,2,2100,363512138.1890278
829540.1076051026,5932627.436931475,534.86,10,1,1,0,0,1,0,0,0,19,1,2100,363512138.1957952
